ターン数,プレイヤー,手
1,Player1,f5
2,Player1,f6
3,Player1,e6
4,Player1,d6
5,Player1,c6
6,COM,c4
7,Player1,c5
8,Player1,b4
9,Player1,c3
10,Player1,b3
11,Player1,a3
12,Player1,a2
13,Player1,a1
14,Player1,b2
15,Player1,b1
16,Player1,f3
17,Player1,c2
18,Player1,a4
19,Player1,d3
20,COM,c1
21,Player1,e3
22,Player1,f4
23,Player1,d2
24,Player1,d1
25,Player1,e1
26,Player1,f2
27,Player1,e2
28,Player1,f1
29,Player1,g1
30,COM,c7
31,Player1,g3
32,Player1,h3
33,Player1,h4
34,Player1,h5
35,Player1,g4
36,Player1,g5
37,Player1,g6
38,Player1,h6
